taxid	string_name	new_taxid	ncbi_name	root
35720	Thielavia terrestris	2587410	Thermothielavioides terrestris	31
35725	Macrophomina phaseolina	35725	Macrophomina phaseolina	31
36033	Vanderwaltozyma polyspora	36033	Vanderwaltozyma polyspora	31
36080	Mucor circinelloides	36080	Mucor circinelloides	31
36331	Pythium irregulare	36331	Pythium irregulare	36
36630	Neosartorya fischeri	36630	Aspergillus fischeri	31
36651	Penicillium digitatum	36651	Penicillium digitatum	31
36914	Lodderomyces elongisporus	36914	Lodderomyces elongisporus	31
37682	Aegilops tauschii	37682	Aegilops tauschii	33
37727	Talaromyces marneffei	37727	Talaromyces marneffei	31
38033	Chaetomium globosum	38033	Chaetomium globosum	31
38654	Alligator sinensis	38654	Alligator sinensis	17
38727	Panicum virgatum	38727	Panicum virgatum	33
38833	Micromonas pusilla	38833	Micromonas pusilla	33
39416	Tuber melanosporum	39416	Tuber melanosporum	31
40127	Neurospora tetrasperma	40127	Neurospora tetrasperma	31
40148	Oryza glumipatula	40148	Oryza glumipatula	33
40149	Oryza meridionalis	40149	Oryza meridionalis	33
40384	Aspergillus kawachii	40384	Aspergillus kawachii	31
40483	Fomitopsis pinicola	40483	Fomitopsis pinicola	31
40492	Stereum hirsutum	40492	Stereum hirsutum	31
40559	Botrytis cinerea	40559	Botrytis cinerea	31
41875	Bathycoccus prasinos	41875	Bathycoccus prasinos	33
42068	Pneumocystis jirovecii	42068	Pneumocystis jirovecii	31
42099	Pythium vexans	907947	Phytopythium vexans	36
42254	Sorex araneus	42254	Sorex araneus	13
42345	Phoenix dactylifera	42345	Phoenix dactylifera	33
42374	Candida dubliniensis	42374	Candida dubliniensis	31
43151	Anopheles darlingi	43151	Anopheles darlingi	24
43179	Ictidomys tridecemlineatus	43179	Ictidomys tridecemlineatus	12
43228	Capronia epimyces	43228	Capronia epimyces	31
43229	Capronia coronata	43229	Capronia coronata	31
44056	Aureococcus anophagefferens	44056	Aureococcus anophagefferens	36
44689	Dictyostelium discoideum	44689	Dictyostelium discoideum	32
45130	Bipolaris sorokiniana	45130	Bipolaris sorokiniana	31
45151	Pyrenophora triticirepentis	45151	Pyrenophora tritici-repentis	31
45157	Cyanidioschyzon merolae	45157	Cyanidioschyzon merolae	35
45285	Eremothecium cymbalariae	45285	Eremothecium cymbalariae	31
45351	Nematostella vectensis	45351	Nematostella vectensis	26
45596	Candida tenuis	2315449	Yamadazyma tenuis	31
46681	Entamoeba dispar	46681	Entamoeba dispar	32
48698	Poecilia formosa	48698	Poecilia formosa	20
50452	Arabis alpina	50452	Arabis alpina	33
51337	Jaculus jaculus	51337	Jaculus jaculus	12
